Var1	A
2150	0.0739819696606169
2160	0.0739112023077642
2170	0.0738438553898834
2180	0.0737799715719417
2190	0.0737194676068466
2200	0.0736623249119551
2210	0.0736085259916323
2220	0.0735580543906867
2230	0.0735108947146956
2240	0.0734670325523107
2250	0.0734264545466498
2260	0.0733890857313891
2270	0.0733549775493143
2280	0.0733240571859698
2290	0.0732962529949945
2300	0.0732716817863982
2310	0.073250149066288
2320	0.0732317734564562
2330	0.0732164873206244
2340	0.0732042240363034
2350	0.0731950425363313
2360	0.0731888157673738
2370	0.0731856043629969
2380	0.0731852830942489
2390	0.0731879142416468
2400	0.0731934986397205
2410	0.0732019134190841
2420	0.0732131609033789
2430	0.073227181842222
2440	0.0732441046485553
2450	0.0732636843774378
2460	0.0732860508150761
2470	0.0733111472590527
2480	0.073338855019631
2490	0.0733692433868917
2500	0.0734022572229552
2510	0.0734378417426086
2520	0.0734760053730921
2530	0.0735166942528322
2540	0.073559854749002
2550	0.0736054966428625
2560	0.0736535670945941
2570	0.0737040134408646
2580	0.0737569099505785
2590	0.0738120779604213
2600	0.0738695287700452
2610	0.0739292742496486
2620	0.0739912629305218
2630	0.0740554433314637
2640	0.0741217639530626
2650	0.0741885734935858
2660	0.0742572714018368
2670	0.0743279659314325
2680	0.0744006242284553
2690	0.0744751940223243
2700	0.0745516552332988
2710	0.0746299618155417
2720	0.0747100805276253
2730	0.0747919648687144
2740	0.0748755812386859
2750	0.0749608892083785
2760	0.075047841511244
2770	0.0751364103905629
2780	0.0752265412933865
2790	0.0753182059012384
2800	0.0754109686566177
2810	0.0755037469222496
2820	0.0755978945013503
2830	0.0756933745081408
2840	0.0757901362190739
2850	0.075888135159854
2860	0.0759873399559465
2870	0.0760876916109167
2880	0.0761891510410539
2890	0.076291678642845
2900	0.0763952206342565
2910	0.0764997363492639
2920	0.0766051846556143
2930	0.076710920269538
2940	0.0768158233719111
2950	0.0769214899747413
2960	0.0770278762954877
2970	0.0771349380406075
2980	0.0772426232407525
2990	0.0773508863907858
3000	0.0774596813003749
3010	0.077568968357804
3020	0.0776786859527358
3030	0.0777887932056994
3040	0.0778992486239397
3050	0.0780098083921269
3060	0.0781184243789021
3070	0.0782272309131085
3080	0.0783361768310369
3090	0.07844522495595
3100	0.0785543156638477
3110	0.0786634179723688
3120	0.0787724784534594
3130	0.0788814503565668
3140	0.078990286394265
3150	0.0790989536074374
3160	0.0792073887545845
3170	0.0793155653127213
3180	0.0794217663821374
3190	0.0795270342972284
3200	0.0796318953012224
3210	0.0797363288236506
3220	0.0798402760461881
3230	0.0799437080308642
3240	0.0800465802958533
3250	0.080148847860679
3260	0.0802504806689727
3270	0.0803514330192434
3280	0.0804516742518649
3290	0.0805511656505329
3300	0.0806498688128858
3310	0.0807470119974558
3320	0.0808419777532711
3330	0.080936064231821
3340	0.0810292395981927
3350	0.0811214718899478
3360	0.0812127367968096
3370	0.0813030021095737
3380	0.08139223542096
3390	0.0814804201100461
3400	0.081567515663219
3410	0.0816534973497712
3420	0.0817383564212792
3430	0.0818220521055039
3440	0.0819045675679068
3450	0.0819858941055194
3460	0.0820659907324536
3470	0.0821441271018846
3480	0.0822201112227586
3490	0.0822948409369374
3500	0.0823683160974188
3510	0.0824405122710166
3520	0.082511429489463
3530	0.0825810597435207
3540	0.0826493787036664
3550	0.08271639487424
3560	0.0827821005615692
3570	0.0828464881240289
3580	0.0829095583286923
