Var1	A_movmean
2490	0.0748557409796622
2500	0.0748679774429228
2510	0.0748824179624092
2520	0.0748990458604127
2530	0.0749178445447932
2540	0.0749387829750638
2550	0.0749618297930788
2560	0.0749869534367676
2570	0.0750141218809086
2580	0.0750433029932782
2590	0.0750744504404495
2600	0.0751075266738269
2610	0.0751424991776496
2620	0.0751793533438701
2630	0.0752180550220426
2640	0.0752585699555728
2650	0.0753008636428734
2660	0.0753449012702955
2670	0.0753906479923242
2680	0.0754380687364869
2690	0.0754871282659184
2700	0.0755377912118082
2710	0.0755900219592274
2720	0.0756437787423025
2730	0.0756990146524446
2740	0.0757556992031618
2750	0.075813808039227
2760	0.0758733038911381
2770	0.0759341500118801
2780	0.0759963095678775
2790	0.0760597450999527
2800	0.076124419704146
2810	0.0761902962937399
